year mon day hour min sec camp flt prof lat lon alt pressure theta co2 co2qcls co2oms co2ao2 strat h2oref n2oref o3ref co2mspo co2mqcls co2moms co2mao2
2009 1 17 1 29 15.13606 1 5 56 -3.291 -166.5309 4814 572.0523 320.302 385.3178 385.1582 NA 385.2657 0 5083.317 323.1585 19.4489 1.729 0.16 NA 0.052
2009 1 17 1 35 52.02479 1 5 56 -3.9018 -166.7229 1624 839.7503 304.5462 386.0964 NA 385.5118 386.2846 0 12324.95 323.5618 15.98435 2.501 NA 0.585 -0.188
2009 1 17 2 1 37.86017 1 5 0 -6.143 -167.5328 9054 329.5362 338.4106 385.3877 385.0262 NA 385.1834 0 180.9388 323.0236 21.36549 1.768 0.361 NA 0.204
2009 1 17 2 7 11.07715 1 5 58 -6.6159 -167.7253 6825 443.9813 331.603 385.4576 385.2643 384.6359 385.525 0 811.1372 323.5296 21.00038 1.841 0.193 0.822 -0.067
2009 1 17 2 11 23.79984 1 5 58 -6.9568 -167.8643 4752 576.7461 321.4351 385.3677 385.4278 384.6161 385.3646 0 6158.915 323.4258 17.26985 1.752 -0.06 0.752 0.003
2009 1 17 2 14 37.74585 1 5 58 -7.2026 -167.9646 3174 699.0252 313.9715 385.4875 NA 384.725 385.4134 0 4626.172 323.3534 21.75963 1.874 NA 0.763 0.074
2009 1 17 2 18 3.734321 1 5 58 -7.4467 -168.0645 1506 851.4895 303.501 386.2861 385.8199 385.5013 386.4137 0 20437.31 323.4277 12.10213 2.674 0.466 0.785 -0.128
2009 1 17 2 21 45.63743 1 5 0 -7.6972 -168.1155 307 976.8956 299.9915 386.5356 385.9584 385.7172 386.3796 0 28744.88 323.3757 9.681412 2.925 0.577 0.818 0.156
2009 1 17 2 29 4.348507 1 5 59 -8.1299 -168.3194 3496 672.2719 314.6064 385.6273 385.4703 NA NA 0 9964.881 323.6111 14.37448 2.019 0.157 NA NA
2009 1 17 2 32 30.47591 1 5 59 -8.3588 -168.4213 5180 547.0894 322.9212 385.9866 385.6566 385.3913 386.0573 0 9502.282 323.5763 12.63413 2.38 0.33 0.595 -0.071
2009 1 17 2 35 54.55362 1 5 59 -8.5957 -168.536 6807 444.9305 332.5346 385.4076 NA 384.9408 385.4285 0 1032.123 323.1833 17.16961 1.803 NA 0.467 -0.021
2009 1 17 2 42 36.47556 1 5 59 -9.1136 -168.7496 9098 327.9066 341.1442 385.228 384.7593 384.6492 385.2326 0 153.2984 322.0901 26.98098 1.626 0.469 0.579 -0.005
2009 1 17 2 49 18.86931 1 5 59 -9.836 -169.0485 11668 226.6175 348.2292 385.0483 384.8002 384.5054 385.08 0 30.19675 322.1801 19.1694 1.449 0.248 0.543 -0.032
2009 1 17 2 59 12.01312 1 5 0 -10.9773 -169.4705 13832 161.8046 355.1863 385.2978 384.9831 NA 385.2431 0 18.81148 323.0449 28.78491 1.703 0.315 NA 0.055
2009 1 17 3 4 52.44828 1 5 0 -11.6453 -169.7138 13837 161.6699 355.0239 NA 385.1374 384.686 385.2315 0 20.24213 323.5817 30.02269 NA NA NA NA
2009 1 18 22 9 50.48249 1 6 62 -21.5123 -173.5512 6824 445.3669 331.6213 384.9584 384.3933 NA NA 0 3383.533 322.6433 39.35869 1.517 0.565 NA NA
2009 1 18 22 14 19.83166 1 6 62 -21.8952 -173.7104 4614 588.259 319.7475 385.218 NA 384.4641 NA 0 9618.488 322.7425 26.92555 1.776 NA 0.754 NA
2009 1 18 22 17 24.36999 1 6 62 -22.1293 -173.8078 3110 706.0648 312.7679 384.6989 384.2849 383.8206 384.7686 0 14728.86 322.27 20.26505 1.256 0.414 0.878 -0.07
2009 1 18 22 20 25.55874 1 6 62 -22.3528 -173.9017 1644 839.6782 302.9337 384.629 383.8677 NA 384.6158 0 25684.34 322.4765 12.71087 1.186 0.761 NA 0.013
2009 1 18 22 24 3.27793 1 6 0 -22.6039 -174.0075 330 977.6979 298.4717 384.4393 383.7594 383.4839 384.4986 0 26928.15 322.1202 13.51656 0.995 0.68 0.955 -0.059
